n,b,sample_size,start,stop,treedist
635,38,25,200,300,3.39E+00
636,38,25,250,350,2.58E+00
637,38,25,300,400,2.70E+00
638,38,25,350,450,2.35E+00
639,38,25,400,500,2.35E+00
640,38,25,450,550,2.54E+00
641,38,25,500,600,3.56E+00
642,38,25,550,650,2.39E+00
643,38,25,600,700,2.62E+00
644,38,25,650,750,1.49E+00
645,38,25,700,800,1.11E+00
646,38,25,750,850,7.31E-01
647,38,25,800,900,6.12E-01
648,38,25,850,950,7.83E-01
649,39,25,0,100,2.45E+01
650,39,25,50,150,1.01E+01
651,39,25,100,200,3.04E+00
652,39,25,150,250,3.18E+00
653,39,25,200,300,2.19E+00
654,39,25,250,350,1.67E+00
655,39,25,300,400,1.69E+00
656,39,25,350,450,2.72E+00
657,39,25,400,500,2.73E+00
658,39,25,450,550,1.54E+00
659,39,25,500,600,1.65E+00
660,39,25,550,650,2.30E+00
661,39,25,600,700,1.91E+00
662,39,25,650,750,9.91E-01
663,39,25,700,800,1.91E+00
664,39,25,750,850,2.18E+00
665,39,25,800,900,1.23E+00
666,39,25,850,950,1.70E+00
667,40,25,0,100,2.76E+00
668,40,25,50,150,1.17E+00
669,40,25,100,200,1.62E+00
670,40,25,150,250,1.34E+00
671,40,25,200,300,2.86E+00
672,40,25,250,350,2.04E+00
673,40,25,300,400,1.17E+00
674,40,25,350,450,1.27E+00
675,40,25,400,500,1.23E+00
676,40,25,450,550,1.05E+00
677,40,25,500,600,1.23E+00
678,40,25,550,650,1.93E+00
679,40,25,600,700,1.34E+00
680,40,25,650,750,8.27E-01
681,40,25,700,800,5.43E-01
682,40,25,750,850,5.81E-01
683,40,25,800,900,4.87E-01
684,40,25,850,950,6.54E-01
685,41,25,200,300,5.77E+00
686,41,25,250,350,6.70E+00
687,41,25,300,400,6.25E+00
688,41,25,350,450,7.45E+00
689,41,25,400,500,7.45E+00
690,41,25,450,550,4.27E+00
691,41,25,500,600,3.01E+00
692,41,25,550,650,3.32E+00
693,41,25,600,700,2.79E+00
694,41,25,650,750,2.21E+00
695,41,25,700,800,1.77E+00
696,41,25,750,850,1.60E+00
697,41,25,800,900,1.55E+00
698,41,25,850,950,1.43E+00
699,42,25,0,100,2.95E+00
700,42,25,50,150,1.88E+00
701,42,25,100,200,1.40E+00
702,42,25,150,250,2.06E+00
703,42,25,200,300,3.85E+00
704,42,25,250,350,4.47E+00
705,42,25,300,400,4.56E+00
706,42,25,350,450,3.03E+00
707,42,25,400,500,3.02E+00
708,42,25,450,550,1.84E+00
709,42,25,500,600,2.46E+00
710,42,25,550,650,2.36E+00
711,42,25,600,700,1.76E+00
712,42,25,650,750,1.51E+00
713,42,25,700,800,1.21E+00
714,42,25,750,850,7.55E-01
715,42,25,800,900,8.42E-01
716,42,25,850,950,1.18E+00
717,43,25,200,300,3.01E+00
718,43,25,250,350,2.89E+00
719,43,25,300,400,2.04E+00
720,43,25,350,450,1.80E+00
721,43,25,400,500,1.80E+00
722,43,25,450,550,1.32E+00
723,43,25,500,600,1.80E+00
724,43,25,550,650,1.96E+00
725,43,25,600,700,1.50E+00
726,43,25,650,750,1.37E+00
727,43,25,700,800,1.23E+00
728,43,25,750,850,5.14E-01
729,43,25,800,900,5.87E-01
730,43,25,850,950,5.94E-01
731,44,25,0,100,1.02E+01
732,44,25,50,150,4.61E+00
733,44,25,100,200,1.56E+00
734,44,25,150,250,5.58E+00
735,44,25,200,300,8.14E+00
