n,b,sample_size,start,stop,treedist
n,b,sample_size,start,stop,treedist
33,32,25,550,650,2.236893e+01
33,32,25,600,700,2.683042e+00
33,32,25,650,750,1.468638e+00
33,32,25,700,800,6.843687e-01
33,32,25,750,850,6.696636e-01
33,32,25,800,900,1.124917e+00
33,32,25,850,950,1.046061e+00
34,33,25,0,100,4.296074e+00
34,33,25,50,150,3.045662e+00
34,33,25,100,200,1.790419e+00
34,33,25,150,250,3.102771e+00
34,33,25,200,300,2.591246e+00
34,33,25,250,350,2.267364e+00
34,33,25,300,400,2.022164e+00
34,33,25,350,450,2.031121e+00
34,33,25,400,500,2.024521e+00
34,33,25,450,550,1.103847e+00
34,33,25,500,600,2.335771e+00
34,33,25,550,650,2.222281e+00
34,33,25,600,700,1.911988e+00
34,33,25,650,750,9.199965e-01
34,33,25,700,800,6.299686e-01
34,33,25,750,850,7.813075e-01
34,33,25,800,900,6.926512e-01
34,33,25,850,950,8.632432e-01
35,34,25,550,650,6.466680e+00
35,34,25,600,700,2.833700e+00
35,34,25,650,750,2.357781e+00
35,34,25,700,800,1.655390e+00
35,34,25,750,850,1.616267e+00
35,34,25,800,900,1.062589e+00
35,34,25,850,950,1.167390e+00
36,35,25,450,550,4.131621e+00
36,35,25,500,600,4.114805e+00
36,35,25,550,650,3.937518e+00
36,35,25,600,700,2.003039e+00
36,35,25,650,750,1.275552e+00
36,35,25,700,800,9.218274e-01
36,35,25,750,850,6.238420e-01
36,35,25,800,900,1.054764e+00
36,35,25,850,950,1.132156e+00
37,36,25,0,100,5.224636e+00
37,36,25,50,150,3.100670e+00
37,36,25,100,200,8.561644e-01
37,36,25,150,250,1.633462e+00
37,36,25,200,300,2.033714e+00
37,36,25,250,350,2.191270e+00
37,36,25,300,400,2.770390e+00
37,36,25,350,450,2.499648e+00
37,36,25,400,500,2.483965e+00
37,36,25,450,550,2.296353e+00
37,36,25,500,600,1.985374e+00
37,36,25,550,650,1.713714e+00
37,36,25,600,700,1.820775e+00
37,36,25,650,750,1.192018e+00
37,36,25,700,800,8.685853e-01
37,36,25,750,850,7.503629e-01
37,36,25,800,900,1.051176e+00
37,36,25,850,950,1.930159e+00
38,37,25,450,550,1.750730e+00
38,37,25,500,600,2.080213e+00
38,37,25,550,650,1.813139e+00
38,37,25,600,700,1.473322e+00
38,37,25,650,750,1.252480e+00
38,37,25,700,800,1.039991e+00
38,37,25,750,850,5.268528e-01
38,37,25,800,900,3.986391e-01
38,37,25,850,950,5.072860e-01
39,38,25,0,100,1.836830e+00
39,38,25,50,150,2.643491e+00
39,38,25,100,200,2.278385e+00
39,38,25,150,250,2.506733e+00
39,38,25,200,300,3.388927e+00
39,38,25,250,350,2.584928e+00
39,38,25,300,400,2.695367e+00
39,38,25,350,450,2.349350e+00
39,38,25,400,500,2.345820e+00
39,38,25,450,550,2.541274e+00
39,38,25,500,600,3.558161e+00
39,38,25,550,650,2.390011e+00
39,38,25,600,700,2.619266e+00
39,38,25,650,750,1.492763e+00
39,38,25,700,800,1.107702e+00
39,38,25,750,850,7.311898e-01
39,38,25,800,900,6.118291e-01
39,38,25,850,950,7.826069e-01
40,39,25,0,100,2.449847e+01
40,39,25,50,150,1.009615e+01
40,39,25,100,200,3.044242e+00
40,39,25,150,250,3.181337e+00
40,39,25,200,300,2.187569e+00
40,39,25,250,350,1.668358e+00
40,39,25,300,400,1.694298e+00
40,39,25,350,450,2.724503e+00
40,39,25,400,500,2.727457e+00
40,39,25,450,550,1.540291e+00
40,39,25,500,600,1.648121e+00
40,39,25,550,650,2.299327e+00
40,39,25,600,700,1.905022e+00
40,39,25,650,750,9.907369e-01
40,39,25,700,800,1.907087e+00
40,39,25,750,850,2.176452e+00
40,39,25,800,900,1.232574e+00
40,39,25,850,950,1.696941e+00
41,40,25,0,100,2.762011e+00
41,40,25,50,150,1.172322e+00
41,40,25,100,200,1.619501e+00
41,40,25,150,250,1.336526e+00
41,40,25,200,300,2.858058e+00
41,40,25,250,350,2.042161e+00
41,40,25,300,400,1.171845e+00
41,40,25,350,450,1.271092e+00
41,40,25,400,500,1.234558e+00
41,40,25,450,550,1.054262e+00
41,40,25,500,600,1.233137e+00
41,40,25,550,650,1.933547e+00
41,40,25,600,700,1.343913e+00
41,40,25,650,750,8.272481e-01
41,40,25,700,800,5.432966e-01
41,40,25,750,850,5.809438e-01
41,40,25,800,900,4.868022e-01
41,40,25,850,950,6.537000e-01
42,41,25,200,300,5.768805e+00
42,41,25,250,350,6.701434e+00
42,41,25,300,400,6.252525e+00
42,41,25,350,450,7.447058e+00
42,41,25,400,500,7.450650e+00
42,41,25,450,550,4.274366e+00
42,41,25,500,600,3.008285e+00
42,41,25,550,650,3.319842e+00
42,41,25,600,700,2.790215e+00
42,41,25,650,750,2.206952e+00
42,41,25,700,800,1.767177e+00
42,41,25,750,850,1.597727e+00
42,41,25,800,900,1.551174e+00
42,41,25,850,950,1.425997e+00
43,42,25,0,100,2.952379e+00
43,42,25,50,150,1.875041e+00
43,42,25,100,200,1.397280e+00
43,42,25,150,250,2.060883e+00
43,42,25,200,300,3.848516e+00
43,42,25,250,350,4.466449e+00
43,42,25,300,400,4.563144e+00
43,42,25,350,450,3.025786e+00
43,42,25,400,500,3.024723e+00
43,42,25,450,550,1.836530e+00
43,42,25,500,600,2.461046e+00
43,42,25,550,650,2.359464e+00
43,42,25,600,700,1.757767e+00
43,42,25,650,750,1.513035e+00
43,42,25,700,800,1.208684e+00
43,42,25,750,850,7.553288e-01
43,42,25,800,900,8.423928e-01
43,42,25,850,950,1.184710e+00
44,43,25,200,300,3.013819e+00
44,43,25,250,350,2.889822e+00
